"dog_id","event_time","event_type","shelter_name","staff_id"
"0013","2023-01-15 08:42:00","intake","Happy Paws Shelter","A12"
"0013","2023-03-20 23:40:00","adopted","Happy Paws Shelter","B07"
"3382","2023-02-10 09:05:00","intake","City Animal Care","A12"
"3382","2023-02-13 14:30:00","vet_check","City Animal Care","V01"
"3382","2023-04-01 11:30:00","adopted","City Animal Care","C03"
"4200","2023-03-05 10:15:00","intake","Willow Creek Adoptions","A08"
"4200","2023-03-07 13:50:00","vet_check","Willow Creek Adoptions","V03"
"6152","2023-04-20 15:25:00","intake","Happy Paws Shelter","A12"
"6152","2023-04-21 10:10:00","vet_check","Happy Paws Shelter","V01"
"8186","2023-05-11 08:55:00","intake","City Animal Care","A04"
"8186","2023-05-12 11:20:00","vet_check","City Animal Care","V01"
"1893","2023-09-10 14:45:00","adopted","Willow Creek Adoptions","B02"
"4094","2023-10-05 13:30:00","adopted","Happy Paws Shelter","B07"
"1099","2023-11-19 12:25:00","adopted","City Animal Care","C03"
"2652","2023-09-03 11:35:00","intake","Willow Creek Adoptions","A08"
"2652","2023-09-04 13:15:00","vet_check","Willow Creek Adoptions","V03"
"2652","2023-12-28 16:50:00","adopted","Willow Creek Adoptions","B02"
"6635","2023-10-18 14:05:00","intake","Happy Paws Shelter","A12"
"6635","2023-10-20 09:15:00","vet_check","Happy Paws Shelter","V01"
"6635","2024-01-15 10:30:00","adopted","Happy Paws Shelter","B07"
"8522","2023-11-09 09:20:00","intake","City Animal Care","A04"
"8522","2023-11-10 10:55:00","vet_check","City Animal Care","V01"
"8522","2024-02-20 15:05:00","adopted","City Animal Care","C03"
"5522","2023-12-01 13:40:00","intake","Willow Creek Adoptions","A08"
"5522","2023-12-04 08:50:00","vet_check","Willow Creek Adoptions","V03"
"5522","2024-03-11 11:45:00","adopted","Willow Creek Adoptions","B02"
"6988","2024-01-25 12:10:00","intake","Happy Paws Shelter","A12"
"6988","2024-01-27 09:30:00","vet_check","Happy Paws Shelter","V01"
"8380","2024-02-14 08:25:00","intake","City Animal Care","A04"
"8380","2024-02-15 14:20:00","vet_check","City Animal Care","V01"
"8774","2024-03-10 16:00:00","intake","Willow Creek Adoptions","A08"
"8774","2024-03-12 10:35:00","vet_check","Willow Creek Adoptions","V03"
"5754","2023-05-20 09:30:00","intake","Happy Paws Shelter","A12"
"5754","2023-05-22 11:00:00","vet_check","Happy Paws Shelter","V01"
"7717","2023-09-18 13:00:00","adopted","Happy Paws Shelter","B07"
"1288","2024-04-05 08:40:00","intake","Happy Paws Shelter","A12"
"1288","2024-04-08 10:15:00","vet_check","Happy Paws Shelter","V01"
"8853","2024-01-02 14:30:00","intake","Happy Paws Shelter","A12"
"8853","2024-01-04 09:20:00","vet_check","Happy Paws Shelter","V01"
"8853","2024-03-25 11:40:00","adopted","Happy Paws Shelter","B07"
"3934","2023-09-30 10:20:00","vet_check","City Animal Care","V01"
"3934","2023-10-29 16:45:00","adopted","City Animal Care","C03"
"3201","2023-09-28 13:15:00","intake","City Animal Care","A04"
"3201","2023-09-30 10:00:00","vet_check","City Animal Care","V01"
"3201","2023-12-03 14:25:00","adopted","City Animal Care","C03"
"4831","2023-10-13 11:10:00","intake","City Animal Care","A04"
"4831","2023-10-15 09:45:00","vet_check","City Animal Care","V01"
"4831","2023-12-04 13:30:00","vet_check","City Animal Care","V01"
"4831","2024-01-08 12:50:00","adopted","City Animal Care","C03"
"1927","2023-11-24 10:30:00","intake","City Animal Care","A04"
"1927","2023-11-25 14:15:00","vet_check","City Animal Care","V01"
"1927","2024-02-14 09:20:00","adopted","City Animal Care","C03"
"9730","2023-12-08 12:05:00","intake","City Animal Care","A04"
