"municipality_code","municipality_name","year","population_total","population_working_age","share_postsecondary","employment_rate","unemployment_rate","labour_market_source_table","disposable_income_pbb","price_base_amount","disposable_income_sek_nominal","new_firm_starts_per_1000_16_64","program_exit_to_work_or_study_share"
"0114","Upplands Väsby",2016,43891,25796,0.378029219230936,80.8,11.9,"IntGr1KomKonUtb",5.9,44300,261370,14.2,
"0114","Upplands Väsby",2017,44605,26036,0.382940573770492,80.8,11.7,"IntGr1KomKonUtb",6.1,44800,273280,11.9,44.7368421
"0114","Upplands Väsby",2018,45543,26496,0.39241615217754,80.8,12,"IntGr1KomKonUtb",6.1,45500,277550,10.6,31.25
"0114","Upplands Väsby",2019,46786,27304,0.401587493452597,80.6,12.1,"IntGr1KomKonUtb",6.1,46500,283650,11.3,30
"0114","Upplands Väsby",2020,47184,27492,0.411436763300414,78.9,15.9,"IntGr1KomKonUtb",6.1,47300,288530,12.7,38.46153846
"0114","Upplands Väsby",2021,47820,27902,0.417053409895383,80,15.3,"IntGr1KomKonUtb",6.4,47600,304640,12.77007202,32.6923077
"0114","Upplands Väsby",2022,49262,28825,0.433112026862027,81.6,12.9,"IntGr1KomUtbBAS",6.5,48300,313950,13.10116086,53.70370371
"0114","Upplands Väsby",2023,50110,29400,0.440909260851684,81.1,12.9,"IntGr1KomUtbBAS",5.6,52500,294000,11.0126501,35
"0115","Vallentuna",2016,32785,18495,0.435696323793558,86.3,6.1,"IntGr1KomKonUtb",6.7,44300,296810,12.4,
"0115","Vallentuna",2017,33175,18658,0.445318507127225,86.2,6,"IntGr1KomKonUtb",6.8,44800,304640,13.4,40.74074074
"0115","Vallentuna",2018,33432,18793,0.450667134831461,86.1,6.1,"IntGr1KomKonUtb",6.9,45500,313950,12.5,43.47826087
"0115","Vallentuna",2019,34090,19191,0.456571298301607,84.9,6.8,"IntGr1KomKonUtb",7,46500,325500,12.2,40
"0115","Vallentuna",2020,34119,19200,0.464486458865611,84.5,8.5,"IntGr1KomKonUtb",7,47300,331100,11.5,43.75
