comment,label
Kan vi få sluta för idag nu? Är klar.,neutral
"Föräldrarnas utbildning? Pappa hoppade av gymnasiet, mamma har nån kurs. Svårt.",neutral
Okej.,neutral
Han vikarien vi hade förra veckan var roligare.,neutral
"Ganska intressant, faktiskt. Mer än jag trodde.",positive
Varför frågade ni inte om man vill jobba utomlands?,negative
Okej då. Den var väl inte hemsk.,neutral
Sådär enkät. Varken bra eller dålig.,neutral
"Intressanta frågor om värderingar, typ vad som är viktigast för mig.",positive
Kan vi få gå hem nu? Snälla?,neutral
Någon knackar på dörren. Undrar vem det är.,neutral
Felicia frågade om hon fick låna mitt sudd.,neutral
Jag vill bli psykolog. Hjälpa folk som mår dåligt.,neutral
Skolan borde ha fler utomhuslektioner.,neutral
Chokladbollar. Mmm.,neutral
"Vad är en ""tjänsteman"" vs en ""arbetare""? Gammaldags?",negative
Tråkigaste jag gjort på länge i skolan.,negative
När är nästa lektion? Vad är det för ämne?,neutral
För lång för min hjärna. Den stängde av.,negative
Jag vill bli rörmokare. Viktigt jobb.,neutral
Jag gillar hundar mer än katter.,neutral
Varför inga frågor om att jobba ideellt?,negative
"Vissa svarsalternativ var konstiga, passade inte alls.",negative
"Ok, men kunde varit mer engagerande. Spelifiering?",negative
"Ok, men lite väl ingående om allt möjligt.",negative
För lång. Kunde kortats ner med hälften säkert.,negative
Jag vill bli designer. Kläder eller inredning.,neutral
Mer utrymme för fritextsvar hade varit bra.,neutral
Amanda och Isabelle pratade om fest i helgen.,neutral
Jag vill bli bagare och göra gott bröd.,neutral
"Lagom svår, men för lång.",negative
"Lagom svårighetsgrad, men för tidskrävande.",negative
Framtiden känns så långt borta. Svårt att planera.,neutral
Tråkigt som att se färg torka.,negative
Gäsp...,negative
Jag vill bli modedesigner och skapa egna kläder.,neutral
"Skriv inte mitt namn här, sa du va? Ok.",neutral
Jag vill bli programmerare och skapa egna spel.,neutral
Ganska lätt att förstå det mesta.,positive
"Pengar är viktigt, men inte allt. Bra kollegor är viktigare.",neutral
"Vad menas med ""karriär""? Är det samma som jobb?",neutral
Kändes som vissa frågor var lite ledande.,negative
Varför frågade ni inte om vilka ämnen man gillar i skolan?,negative
För lång tid. Fick träsmak.,negative
Jag vill bli kock. Älskar mat.,neutral
Slöseri med min tid just nu. Känns det som.,negative
Intressant att fundera på vad som motiverar mig.,positive
Jag vill bli spelutvecklare.,neutral
Vad är meningen med den här enkäten? Förstår inte syftet.,negative
Svårt att veta vad föräldrar tjänar. Känns som deras ensak.,negative
