municipality_code,municipality_name,year,unemployment_rate
0114,Upplands Väsby,2016,11.9
0115,Vallentuna,2016,6.1
0117,Österåker,2016,7.2
0120,Värmdö,2016,7.3
0123,Järfälla,2016,13.7
0125,Ekerö,2016,5.6
0126,Huddinge,2016,12
0127,Botkyrka,2016,17.7
0128,Salem,2016,9.7
0136,Haninge,2016,11.9
0138,Tyresö,2016,8.3
0139,Upplands-Bro,2016,11.7
0140,Nykvarn,2016,7.6
0160,Täby,2016,6.1
0162,Danderyd,2016,5.3
0163,Sollentuna,2016,9.6
0180,Stockholm,2016,10.4
0181,Södertälje,2016,21.5
0182,Nacka,2016,8.4
0183,Sundbyberg,2016,12.5
0184,Solna,2016,8.2
0186,Lidingö,2016,7.4
0187,Vaxholm,2016,6
0188,Norrtälje,2016,9.3
0191,Sigtuna,2016,13.2
0192,Nynäshamn,2016,10.5
0305,Håbo,2016,8.1
0319,Älvkarleby,2016,19
0330,Knivsta,2016,6.5
0331,Heby,2016,10.9
0360,Tierp,2016,14.5
0380,Uppsala,2016,9.6
0381,Enköping,2016,11.2
0382,Östhammar,2016,8.5
0428,Vingåker,2016,16.9
0461,Gnesta,2016,9.6
0480,Nyköping,2016,13.7
0481,Oxelösund,2016,19.7
0482,Flen,2016,20.6
0483,Katrineholm,2016,17.8
0484,Eskilstuna,2016,20.8
0486,Strängnäs,2016,11.5
0488,Trosa,2016,7.7
0509,Ödeshög,2016,13.4
0512,Ydre,2016,8
0513,Kinda,2016,11.4
0560,Boxholm,2016,10.5
0561,Åtvidaberg,2016,11.3
0562,Finspång,2016,16.6
0563,Valdemarsvik,2016,16.1
0580,Linköping,2016,10.6
0581,Norrköping,2016,18.2
0582,Söderköping,2016,10.6
0583,Motala,2016,17.7
0584,Vadstena,2016,11.3
0586,Mjölby,2016,12.4
0604,Aneby,2016,11.4
0617,Gnosjö,2016,12.1
0642,Mullsjö,2016,9.9
0643,Habo,2016,6.5
0662,Gislaved,2016,14.1
0665,Vaggeryd,2016,10.9
0680,Jönköping,2016,10.6
0682,Nässjö,2016,15.4
0683,Värnamo,2016,11.3
0684,Sävsjö,2016,14.2
0685,Vetlanda,2016,11.4
0686,Eksjö,2016,10.8
0687,Tranås,2016,14
0760,Uppvidinge,2016,14.3
0761,Lessebo,2016,22.7
0763,Tingsryd,2016,13.6
0764,Alvesta,2016,15.4
0765,Älmhult,2016,10.8
0767,Markaryd,2016,16
0780,Växjö,2016,13.2
0781,Ljungby,2016,11.4
0821,Högsby,2016,19
0834,Torsås,2016,14.1
0840,Mörbylånga,2016,8.7
0860,Hultsfred,2016,17.5
0861,Mönsterås,2016,13.4
0862,Emmaboda,2016,14.3
0880,Kalmar,2016,12
0881,Nybro,2016,15.8
0882,Oskarshamn,2016,11.7
0883,Västervik,2016,14.7
0884,Vimmerby,2016,11.9
0885,Borgholm,2016,12.3
0980,Gotland,2016,12.3
1060,Olofström,2016,18.5
1080,Karlskrona,2016,14.4
1081,Ronneby,2016,21
1082,Karlshamn,2016,16.3
1083,Sölvesborg,2016,16.4
1214,Svalöv,2016,13.3
1230,Staffanstorp,2016,9.2
1231,Burlöv,2016,17.7
1233,Vellinge,2016,7.7
1256,Östra Göinge,2016,20.9
1257,Örkelljunga,2016,14.2
1260,Bjuv,2016,16.5
1261,Kävlinge,2016,9.8
1262,Lomma,2016,6.4
1263,Svedala,2016,10
1264,Skurup,2016,13.6
1265,Sjöbo,2016,11.1
1266,Hörby,2016,12.4
1267,Höör,2016,10.4
1270,Tomelilla,2016,14.4
1272,Bromölla,2016,17.3
1273,Osby,2016,14.5
1275,Perstorp,2016,18.9
1276,Klippan,2016,14.8
1277,Åstorp,2016,18.5
1278,Båstad,2016,12
1280,Malmö,2016,19.8
1281,Lund,2016,8.9
1282,Landskrona,2016,20.2
1283,Helsingborg,2016,16.8
1284,Höganäs,2016,10.6
1285,Eslöv,2016,13.7
1286,Ystad,2016,11.3
1287,Trelleborg,2016,14.1
1290,Kristianstad,2016,16.8
1291,Simrishamn,2016,13.2
1292,Ängelholm,2016,12.7
1293,Hässleholm,2016,17.2
1315,Hylte,2016,17.8
1380,Halmstad,2016,14.5
1381,Laholm,2016,12.8
1382,Falkenberg,2016,12.9
1383,Varberg,2016,9.5
1384,Kungsbacka,2016,6.7
1401,Härryda,2016,7.2
1402,Partille,2016,8.8
1407,Öckerö,2016,5.5
1415,Stenungsund,2016,8.1
1419,Tjörn,2016,6.8
1421,Orust,2016,8.9
1427,Sotenäs,2016,8.7
1430,Munkedal,2016,12
1435,Tanum,2016,9.9
1438,Dals-Ed,2016,11.4
1439,Färgelanda,2016,13
1440,Ale,2016,9.1
1441,Lerum,2016,6.5
1442,Vårgårda,2016,9.8
1443,Bollebygd,2016,8
1444,Grästorp,2016,10.7
1445,Essunga,2016,9.3
1446,Karlsborg,2016,11.8
1447,Gullspång,2016,17.9
1452,Tranemo,2016,9.6
1460,Bengtsfors,2016,18.3
1461,Mellerud,2016,17.6
1462,Lilla Edet,2016,11.7
1463,Mark,2016,9.4
1465,Svenljunga,2016,11.2
1466,Herrljunga,2016,9.5
1470,Vara,2016,11
1471,Götene,2016,11.3
1472,Tibro,2016,16.7
1473,Töreboda,2016,17.4
1480,Göteborg,2016,12.8
1481,Mölndal,2016,7.9
1482,Kungälv,2016,6.5
1484,Lysekil,2016,11.7
1485,Uddevalla,2016,14.3
1486,Strömstad,2016,10.2
1487,Vänersborg,2016,15.9
1488,Trollhättan,2016,18.4
1489,Alingsås,2016,10
1490,Borås,2016,14.1
1491,Ulricehamn,2016,9.7
1492,Åmål,2016,20.2
1493,Mariestad,2016,12.7
1494,Lidköping,2016,10.8
1495,Skara,2016,15.5
1496,Skövde,2016,11.7
1497,Hjo,2016,10.2
1498,Tidaholm,2016,13.2
1499,Falköping,2016,14.8
1715,Kil,2016,13.1
1730,Eda,2016,12.3
1737,Torsby,2016,13.6
1760,Storfors,2016,21.7
1761,Hammarö,2016,10
1762,Munkfors,2016,17.4
1763,Forshaga,2016,14.1
1764,Grums,2016,17.6
1765,Årjäng,2016,11.6
1766,Sunne,2016,12.8
1780,Karlstad,2016,13.6
1781,Kristinehamn,2016,20.3
1782,Filipstad,2016,21.1
1783,Hagfors,2016,14.6
1784,Arvika,2016,14.1
1785,Säffle,2016,20.2
1814,Lekeberg,2016,9.7
1860,Laxå,2016,16.7
1861,Hallsberg,2016,14.8
1862,Degerfors,2016,16.5
1863,Hällefors,2016,19.5
1864,Ljusnarsberg,2016,18.4
1880,Örebro,2016,13.7
1881,Kumla,2016,12.2
1882,Askersund,2016,11.9
1883,Karlskoga,2016,16.6
1884,Nora,2016,15.4
1885,Lindesberg,2016,14.5
1904,Skinnskatteberg,2016,14.4
1907,Surahammar,2016,14.7
1960,Kungsör,2016,17.1
1961,Hallstahammar,2016,14.1
1962,Norberg,2016,15.5
1980,Västerås,2016,15
1981,Sala,2016,14.3
1982,Fagersta,2016,19.5
1983,Köping,2016,16
1984,Arboga,2016,16.7
2021,Vansbro,2016,11
2023,Malung-Sälen,2016,10.9
2026,Gagnef,2016,9.3
2029,Leksand,2016,10
2031,Rättvik,2016,11.2
2034,Orsa,2016,16.4
2039,Älvdalen,2016,13.3
2061,Smedjebacken,2016,11.3
2062,Mora,2016,10.8
2080,Falun,2016,11.8
2081,Borlänge,2016,15.7
2082,Säter,2016,9.2
2083,Hedemora,2016,15.7
2084,Avesta,2016,19.4
2085,Ludvika,2016,16.4
2101,Ockelbo,2016,20.6
2104,Hofors,2016,17.3
2121,Ovanåker,2016,15
2132,Nordanstig,2016,14.9
2161,Ljusdal,2016,18.7
2180,Gävle,2016,17.7
2181,Sandviken,2016,20.3
2182,Söderhamn,2016,20.7
2183,Bollnäs,2016,19.7
2184,Hudiksvall,2016,15.8
2260,Ånge,2016,15.7
2262,Timrå,2016,14.6
2280,Härnösand,2016,19.3
2281,Sundsvall,2016,14.1
2282,Kramfors,2016,17.7
2283,Sollefteå,2016,20.4
2284,Örnsköldsvik,2016,15
2303,Ragunda,2016,18.9
2305,Bräcke,2016,16.5
2309,Krokom,2016,11.9
2313,Strömsund,2016,19.1
2321,Åre,2016,13.4
2326,Berg,2016,15.5
2361,Härjedalen,2016,13.6
2380,Östersund,2016,13.2
2401,Nordmaling,2016,14.7
2403,Bjurholm,2016,14.3
2404,Vindeln,2016,11.2
2409,Robertsfors,2016,13.7
2417,Norsjö,2016,16.1
2418,Malå,2016,12.5
2421,Storuman,2016,12.6
2422,Sorsele,2016,14
2425,Dorotea,2016,16.7
2460,Vännäs,2016,11.2
2462,Vilhelmina,2016,17.9
2463,Åsele,2016,18.2
2480,Umeå,2016,10.7
2481,Lycksele,2016,14.3
2482,Skellefteå,2016,12.7
2505,Arvidsjaur,2016,16.6
2506,Arjeplog,2016,14.5
2510,Jokkmokk,2016,16.2
2513,Överkalix,2016,20.2
2514,Kalix,2016,16.7
2518,Övertorneå,2016,18
2521,Pajala,2016,18.9
2523,Gällivare,2016,11
2560,Älvsbyn,2016,14.8
2580,Luleå,2016,12.1
2581,Piteå,2016,12.7
2582,Boden,2016,14.3
2583,Haparanda,2016,21.9
2584,Kiruna,2016,9.4
0114,Upplands Väsby,2017,11.7
0115,Vallentuna,2017,6
0117,Österåker,2017,7
0120,Värmdö,2017,7.2
0123,Järfälla,2017,13.7
0125,Ekerö,2017,5.7
0126,Huddinge,2017,12
0127,Botkyrka,2017,17.1
0128,Salem,2017,9.8
0136,Haninge,2017,11.6
0138,Tyresö,2017,8.3
0139,Upplands-Bro,2017,12
0140,Nykvarn,2017,7
0160,Täby,2017,6
0162,Danderyd,2017,5.6
0163,Sollentuna,2017,9.5
0180,Stockholm,2017,10.3
0181,Södertälje,2017,20.1
0182,Nacka,2017,8.4
0183,Sundbyberg,2017,12.1
0184,Solna,2017,8
0186,Lidingö,2017,7.3
0187,Vaxholm,2017,6.4
0188,Norrtälje,2017,9.3
0191,Sigtuna,2017,12.9
0192,Nynäshamn,2017,10.9
0305,Håbo,2017,9.1
0319,Älvkarleby,2017,18.3
0330,Knivsta,2017,6.7
0331,Heby,2017,10.8
0360,Tierp,2017,14.2
0380,Uppsala,2017,9.9
0381,Enköping,2017,11.7
0382,Östhammar,2017,8.1
0428,Vingåker,2017,16.3
0461,Gnesta,2017,9.2
0480,Nyköping,2017,13.4
0481,Oxelösund,2017,19.6
0482,Flen,2017,21.6
0483,Katrineholm,2017,17.8
0484,Eskilstuna,2017,20.4
0486,Strängnäs,2017,11.6
0488,Trosa,2017,7.7
0509,Ödeshög,2017,13.1
0512,Ydre,2017,7.3
0513,Kinda,2017,10
0560,Boxholm,2017,11.1
0561,Åtvidaberg,2017,11.3
0562,Finspång,2017,15.6
0563,Valdemarsvik,2017,16.8
0580,Linköping,2017,10.3
0581,Norrköping,2017,17.8
0582,Söderköping,2017,10
0583,Motala,2017,17
0584,Vadstena,2017,11.7
0586,Mjölby,2017,12.4
0604,Aneby,2017,11
0617,Gnosjö,2017,10.9
0642,Mullsjö,2017,10.1
0643,Habo,2017,7.2
0662,Gislaved,2017,13.6
0665,Vaggeryd,2017,9.5
0680,Jönköping,2017,10.2
0682,Nässjö,2017,15.3
0683,Värnamo,2017,11
0684,Sävsjö,2017,13.9
0685,Vetlanda,2017,11.1
0686,Eksjö,2017,11.4
0687,Tranås,2017,13.8
0760,Uppvidinge,2017,13.3
0761,Lessebo,2017,23.4
0763,Tingsryd,2017,13
0764,Alvesta,2017,14.8
0765,Älmhult,2017,11.9
0767,Markaryd,2017,16.4
0780,Växjö,2017,12.4
0781,Ljungby,2017,11.5
0821,Högsby,2017,19.7
0834,Torsås,2017,14.4
0840,Mörbylånga,2017,8.7
0860,Hultsfred,2017,17.9
0861,Mönsterås,2017,13.5
0862,Emmaboda,2017,15
0880,Kalmar,2017,11.9
0881,Nybro,2017,15.5
0882,Oskarshamn,2017,11.4
0883,Västervik,2017,14.2
0884,Vimmerby,2017,12.2
0885,Borgholm,2017,12.7
0980,Gotland,2017,11.9
1060,Olofström,2017,17.8
1080,Karlskrona,2017,13.9
1081,Ronneby,2017,21.5
1082,Karlshamn,2017,16.3
1083,Sölvesborg,2017,15.9
1214,Svalöv,2017,13.7
1230,Staffanstorp,2017,9.3
1231,Burlöv,2017,17.8
1233,Vellinge,2017,7.6
1256,Östra Göinge,2017,21.7
1257,Örkelljunga,2017,14
1260,Bjuv,2017,17.5
1261,Kävlinge,2017,9.6
1262,Lomma,2017,6.5
1263,Svedala,2017,9.8
1264,Skurup,2017,13.5
1265,Sjöbo,2017,10.8
1266,Hörby,2017,12.7
1267,Höör,2017,10.8
1270,Tomelilla,2017,14.1
1272,Bromölla,2017,16.5
1273,Osby,2017,15.4
1275,Perstorp,2017,19.2
1276,Klippan,2017,15.1
1277,Åstorp,2017,18.7
1278,Båstad,2017,11.5
1280,Malmö,2017,19.9
1281,Lund,2017,9.2
1282,Landskrona,2017,20.5
1283,Helsingborg,2017,17
1284,Höganäs,2017,10.3
1285,Eslöv,2017,14.3
1286,Ystad,2017,11.3
1287,Trelleborg,2017,13.9
1290,Kristianstad,2017,16.5
1291,Simrishamn,2017,13.6
1292,Ängelholm,2017,12
1293,Hässleholm,2017,16.4
1315,Hylte,2017,18.1
1380,Halmstad,2017,13.9
1381,Laholm,2017,12.7
1382,Falkenberg,2017,12.6
1383,Varberg,2017,9.7
1384,Kungsbacka,2017,6.9
1401,Härryda,2017,6.8
1402,Partille,2017,8.4
1407,Öckerö,2017,5.5
1415,Stenungsund,2017,7.8
1419,Tjörn,2017,6.4
1421,Orust,2017,8.3
1427,Sotenäs,2017,9.5
1430,Munkedal,2017,11.6
1435,Tanum,2017,10.6
1438,Dals-Ed,2017,11.2
1439,Färgelanda,2017,13.6
1440,Ale,2017,9.1
1441,Lerum,2017,6.5
1442,Vårgårda,2017,10.4
1443,Bollebygd,2017,8.2
1444,Grästorp,2017,9.8
1445,Essunga,2017,9.2
1446,Karlsborg,2017,11
1447,Gullspång,2017,16.2
1452,Tranemo,2017,9
1460,Bengtsfors,2017,18.2
1461,Mellerud,2017,17.5
1462,Lilla Edet,2017,11.4
1463,Mark,2017,9
1465,Svenljunga,2017,10.2
1466,Herrljunga,2017,9.5
1470,Vara,2017,9.8
1471,Götene,2017,11
1472,Tibro,2017,16
1473,Töreboda,2017,16.3
1480,Göteborg,2017,12.5
1481,Mölndal,2017,8
1482,Kungälv,2017,6.6
1484,Lysekil,2017,11.2
1485,Uddevalla,2017,14.6
1486,Strömstad,2017,10.7
1487,Vänersborg,2017,15.3
1488,Trollhättan,2017,17.1
1489,Alingsås,2017,9.4
1490,Borås,2017,13.7
1491,Ulricehamn,2017,9.6
1492,Åmål,2017,20
1493,Mariestad,2017,12
1494,Lidköping,2017,10.3
1495,Skara,2017,14.5
1496,Skövde,2017,11.1
1497,Hjo,2017,9.5
1498,Tidaholm,2017,12.1
1499,Falköping,2017,14.6
1715,Kil,2017,12.1
1730,Eda,2017,12.1
1737,Torsby,2017,13.2
1760,Storfors,2017,19.8
1761,Hammarö,2017,9
1762,Munkfors,2017,16.7
1763,Forshaga,2017,14
1764,Grums,2017,15.7
1765,Årjäng,2017,11.5
1766,Sunne,2017,12.1
1780,Karlstad,2017,13.8
1781,Kristinehamn,2017,19
1782,Filipstad,2017,20.1
1783,Hagfors,2017,13.6
1784,Arvika,2017,13.1
1785,Säffle,2017,19.5
1814,Lekeberg,2017,9.6
1860,Laxå,2017,15.6
1861,Hallsberg,2017,15.1
1862,Degerfors,2017,16.5
1863,Hällefors,2017,19.8
1864,Ljusnarsberg,2017,19.6
1880,Örebro,2017,13.9
1881,Kumla,2017,11.9
1882,Askersund,2017,11.5
1883,Karlskoga,2017,15.5
1884,Nora,2017,15
1885,Lindesberg,2017,14.6
1904,Skinnskatteberg,2017,13
1907,Surahammar,2017,14.5
1960,Kungsör,2017,17.3
1961,Hallstahammar,2017,14.1
1962,Norberg,2017,15.7
1980,Västerås,2017,15.1
1981,Sala,2017,14.2
1982,Fagersta,2017,18.9
1983,Köping,2017,15.2
1984,Arboga,2017,15.5
2021,Vansbro,2017,9.8
2023,Malung-Sälen,2017,10.5
2026,Gagnef,2017,9.2
2029,Leksand,2017,10.7
2031,Rättvik,2017,10.9
2034,Orsa,2017,16.6
2039,Älvdalen,2017,13.7
2061,Smedjebacken,2017,10.4
2062,Mora,2017,10.4
2080,Falun,2017,11.2
2081,Borlänge,2017,15.3
2082,Säter,2017,8.3
2083,Hedemora,2017,14.9
2084,Avesta,2017,18.5
2085,Ludvika,2017,15.3
2101,Ockelbo,2017,20.3
2104,Hofors,2017,16.3
2121,Ovanåker,2017,14.7
2132,Nordanstig,2017,13.9
2161,Ljusdal,2017,18.3
2180,Gävle,2017,17.5
2181,Sandviken,2017,20.6
2182,Söderhamn,2017,19.5
2183,Bollnäs,2017,19.2
2184,Hudiksvall,2017,14.5
2260,Ånge,2017,16.2
2262,Timrå,2017,13.6
2280,Härnösand,2017,19.4
2281,Sundsvall,2017,13.9
2282,Kramfors,2017,17.3
2283,Sollefteå,2017,20.1
2284,Örnsköldsvik,2017,15.3
2303,Ragunda,2017,18.8
2305,Bräcke,2017,16.9
2309,Krokom,2017,11.5
2313,Strömsund,2017,19.6
2321,Åre,2017,13.7
2326,Berg,2017,15.4
2361,Härjedalen,2017,14.7
2380,Östersund,2017,13
