publication_date,date,N
2020-04-02,,9
2020-04-02,2020-03-01,0
2020-04-02,2020-03-02,0
2020-04-02,2020-03-03,0
2020-04-02,2020-03-04,0
2020-04-02,2020-03-05,0
2020-04-02,2020-03-06,0
2020-04-02,2020-03-07,0
2020-04-02,2020-03-08,0
2020-04-02,2020-03-09,0
2020-04-02,2020-03-10,0
2020-04-02,2020-03-11,0
2020-04-02,2020-03-12,0
2020-04-02,2020-03-13,1
2020-04-02,2020-03-14,1
2020-04-02,2020-03-15,2
2020-04-02,2020-03-16,2
2020-04-02,2020-03-17,1
2020-04-02,2020-03-18,6
2020-04-02,2020-03-19,7
2020-04-02,2020-03-20,9
2020-04-02,2020-03-21,8
2020-04-02,2020-03-22,11
2020-04-02,2020-03-23,8
2020-04-02,2020-03-24,16
2020-04-02,2020-03-25,22
2020-04-02,2020-03-26,27
2020-04-02,2020-03-27,31
2020-04-02,2020-03-28,26
2020-04-02,2020-03-29,25
2020-04-02,2020-03-30,26
2020-04-02,2020-03-31,26
2020-04-02,2020-04-01,13
2020-04-02,2020-04-02,5
2020-04-03,,12
2020-04-03,2020-03-01,0
2020-04-03,2020-03-02,1
2020-04-03,2020-03-03,0
2020-04-03,2020-03-04,0
2020-04-03,2020-03-05,0
2020-04-03,2020-03-06,0
2020-04-03,2020-03-07,0
2020-04-03,2020-03-08,0
2020-04-03,2020-03-09,0
2020-04-03,2020-03-10,0
2020-04-03,2020-03-11,1
2020-04-03,2020-03-12,0
2020-04-03,2020-03-13,1
2020-04-03,2020-03-14,1
2020-04-03,2020-03-15,2
2020-04-03,2020-03-16,2
2020-04-03,2020-03-17,1
2020-04-03,2020-03-18,6
2020-04-03,2020-03-19,7
2020-04-03,2020-03-20,9
2020-04-03,2020-03-21,8
2020-04-03,2020-03-22,11
2020-04-03,2020-03-23,9
2020-04-03,2020-03-24,16
2020-04-03,2020-03-25,22
2020-04-03,2020-03-26,27
2020-04-03,2020-03-27,31
2020-04-03,2020-03-28,29
2020-04-03,2020-03-29,27
2020-04-03,2020-03-30,30
2020-04-03,2020-03-31,33
2020-04-03,2020-04-01,23
2020-04-03,2020-04-02,22
2020-04-03,2020-04-03,2
2020-04-04,,15
2020-04-04,2020-03-01,0
2020-04-04,2020-03-02,0
2020-04-04,2020-03-03,0
2020-04-04,2020-03-04,0
2020-04-04,2020-03-05,0
2020-04-04,2020-03-06,0
2020-04-04,2020-03-07,0
2020-04-04,2020-03-08,0
2020-04-04,2020-03-09,0
2020-04-04,2020-03-10,0
2020-04-04,2020-03-11,1
2020-04-04,2020-03-12,0
2020-04-04,2020-03-13,1
2020-04-04,2020-03-14,1
2020-04-04,2020-03-15,2
2020-04-04,2020-03-16,2
2020-04-04,2020-03-17,1
2020-04-04,2020-03-18,6
2020-04-04,2020-03-19,7
2020-04-04,2020-03-20,9
2020-04-04,2020-03-21,8
2020-04-04,2020-03-22,11
2020-04-04,2020-03-23,9
2020-04-04,2020-03-24,16
2020-04-04,2020-03-25,23
2020-04-04,2020-03-26,27
2020-04-04,2020-03-27,31
2020-04-04,2020-03-28,29
2020-04-04,2020-03-29,28
2020-04-04,2020-03-30,30
2020-04-04,2020-03-31,36
2020-04-04,2020-04-01,25
2020-04-04,2020-04-02,36
2020-04-04,2020-04-03,18
2020-04-04,2020-04-04,1
2020-04-05,,17
2020-04-05,2020-03-01,0
2020-04-05,2020-03-02,0
2020-04-05,2020-03-03,0
2020-04-05,2020-03-04,0
2020-04-05,2020-03-05,0
2020-04-05,2020-03-06,0
2020-04-05,2020-03-07,0
2020-04-05,2020-03-08,0
2020-04-05,2020-03-09,0
2020-04-05,2020-03-10,0
2020-04-05,2020-03-11,1
2020-04-05,2020-03-12,0
2020-04-05,2020-03-13,1
2020-04-05,2020-03-14,1
2020-04-05,2020-03-15,2
2020-04-05,2020-03-16,2
2020-04-05,2020-03-17,1
2020-04-05,2020-03-18,6
2020-04-05,2020-03-19,7
2020-04-05,2020-03-20,9
2020-04-05,2020-03-21,8
2020-04-05,2020-03-22,11
2020-04-05,2020-03-23,9
2020-04-05,2020-03-24,16
2020-04-05,2020-03-25,24
2020-04-05,2020-03-26,27
2020-04-05,2020-03-27,32
2020-04-05,2020-03-28,29
2020-04-05,2020-03-29,29
2020-04-05,2020-03-30,30
2020-04-05,2020-03-31,36
2020-04-05,2020-04-01,31
2020-04-05,2020-04-02,43
2020-04-05,2020-04-03,22
2020-04-05,2020-04-04,6
2020-04-05,2020-04-05,1
2020-04-06,,20
2020-04-06,2020-03-01,0
2020-04-06,2020-03-02,0
2020-04-06,2020-03-03,0
2020-04-06,2020-03-04,0
2020-04-06,2020-03-05,0
2020-04-06,2020-03-06,0
2020-04-06,2020-03-07,0
2020-04-06,2020-03-08,0
2020-04-06,2020-03-09,0
2020-04-06,2020-03-10,0
2020-04-06,2020-03-11,1
2020-04-06,2020-03-12,0
2020-04-06,2020-03-13,1
2020-04-06,2020-03-14,1
2020-04-06,2020-03-15,2
2020-04-06,2020-03-16,2
2020-04-06,2020-03-17,1
2020-04-06,2020-03-18,6
2020-04-06,2020-03-19,7
2020-04-06,2020-03-20,9
2020-04-06,2020-03-21,8
2020-04-06,2020-03-22,11
2020-04-06,2020-03-23,10
2020-04-06,2020-03-24,16
2020-04-06,2020-03-25,24
2020-04-06,2020-03-26,28
2020-04-06,2020-03-27,33
2020-04-06,2020-03-28,29
2020-04-06,2020-03-29,31
2020-04-06,2020-03-30,32
2020-04-06,2020-03-31,36
2020-04-06,2020-04-01,35
2020-04-06,2020-04-02,47
2020-04-06,2020-04-03,34
2020-04-06,2020-04-04,17
2020-04-06,2020-04-05,23
2020-04-06,2020-04-06,13
2020-04-07,,17
2020-04-07,2020-03-01,0
2020-04-07,2020-03-02,0
2020-04-07,2020-03-03,0
2020-04-07,2020-03-04,0
2020-04-07,2020-03-05,0
2020-04-07,2020-03-06,0
2020-04-07,2020-03-07,0
2020-04-07,2020-03-08,0
2020-04-07,2020-03-09,0
2020-04-07,2020-03-10,0
2020-04-07,2020-03-11,1
2020-04-07,2020-03-12,0
2020-04-07,2020-03-13,1
2020-04-07,2020-03-14,1
2020-04-07,2020-03-15,2
2020-04-07,2020-03-16,2
2020-04-07,2020-03-17,1
2020-04-07,2020-03-18,6
2020-04-07,2020-03-19,7
2020-04-07,2020-03-20,9
2020-04-07,2020-03-21,8
2020-04-07,2020-03-22,11
2020-04-07,2020-03-23,11
2020-04-07,2020-03-24,17
2020-04-07,2020-03-25,24
2020-04-07,2020-03-26,30
2020-04-07,2020-03-27,33
2020-04-07,2020-03-28,31
2020-04-07,2020-03-29,32
2020-04-07,2020-03-30,38
2020-04-07,2020-03-31,37
2020-04-07,2020-04-01,40
2020-04-07,2020-04-02,55
2020-04-07,2020-04-03,49
2020-04-07,2020-04-04,40
2020-04-07,2020-04-05,49
2020-04-07,2020-04-06,37
2020-04-07,2020-04-07,2
2020-04-08,,24
2020-04-08,2020-03-01,0
2020-04-08,2020-03-02,0
2020-04-08,2020-03-03,0
2020-04-08,2020-03-04,0
2020-04-08,2020-03-05,0
2020-04-08,2020-03-06,0
2020-04-08,2020-03-07,0
2020-04-08,2020-03-08,0
2020-04-08,2020-03-09,0
2020-04-08,2020-03-10,0
2020-04-08,2020-03-11,1
2020-04-08,2020-03-12,0
2020-04-08,2020-03-13,1
2020-04-08,2020-03-14,1
2020-04-08,2020-03-15,2
2020-04-08,2020-03-16,2
2020-04-08,2020-03-17,2
2020-04-08,2020-03-18,6
2020-04-08,2020-03-19,7
2020-04-08,2020-03-20,10
2020-04-08,2020-03-21,7
2020-04-08,2020-03-22,11
2020-04-08,2020-03-23,11
2020-04-08,2020-03-24,18
2020-04-08,2020-03-25,25
2020-04-08,2020-03-26,29
2020-04-08,2020-03-27,33
2020-04-08,2020-03-28,31
2020-04-08,2020-03-29,34
2020-04-08,2020-03-30,38
2020-04-08,2020-03-31,36
2020-04-08,2020-04-01,42
2020-04-08,2020-04-02,59
2020-04-08,2020-04-03,54
2020-04-08,2020-04-04,48
2020-04-08,2020-04-05,58
2020-04-08,2020-04-06,55
2020-04-08,2020-04-07,36
2020-04-08,2020-04-08,6
2020-04-09,,12
2020-04-09,2020-03-01,0
2020-04-09,2020-03-02,0
2020-04-09,2020-03-03,0
2020-04-09,2020-03-04,0
2020-04-09,2020-03-05,0
2020-04-09,2020-03-06,0
2020-04-09,2020-03-07,0
2020-04-09,2020-03-08,0
2020-04-09,2020-03-09,0
2020-04-09,2020-03-10,0
2020-04-09,2020-03-11,1
2020-04-09,2020-03-12,0
2020-04-09,2020-03-13,1
2020-04-09,2020-03-14,1
2020-04-09,2020-03-15,2
2020-04-09,2020-03-16,2
2020-04-09,2020-03-17,2
2020-04-09,2020-03-18,6
2020-04-09,2020-03-19,7
2020-04-09,2020-03-20,10
2020-04-09,2020-03-21,7
2020-04-09,2020-03-22,12
2020-04-09,2020-03-23,11
2020-04-09,2020-03-24,20
2020-04-09,2020-03-25,25
2020-04-09,2020-03-26,30
2020-04-09,2020-03-27,32
2020-04-09,2020-03-28,34
2020-04-09,2020-03-29,37
2020-04-09,2020-03-30,41
2020-04-09,2020-03-31,42
2020-04-09,2020-04-01,45
2020-04-09,2020-04-02,65
2020-04-09,2020-04-03,58
2020-04-09,2020-04-04,54
2020-04-09,2020-04-05,67
2020-04-09,2020-04-06,66
2020-04-09,2020-04-07,53
2020-04-09,2020-04-08,47
2020-04-09,2020-04-09,3
2020-04-10,,13
2020-04-10,2020-03-01,0
2020-04-10,2020-03-02,0
2020-04-10,2020-03-03,0
2020-04-10,2020-03-04,0
2020-04-10,2020-03-05,0
2020-04-10,2020-03-06,0
2020-04-10,2020-03-07,0
2020-04-10,2020-03-08,0
2020-04-10,2020-03-09,0
2020-04-10,2020-03-10,0
2020-04-10,2020-03-11,1
2020-04-10,2020-03-12,0
2020-04-10,2020-03-13,1
2020-04-10,2020-03-14,1
2020-04-10,2020-03-15,2
2020-04-10,2020-03-16,2
2020-04-10,2020-03-17,2
2020-04-10,2020-03-18,6
2020-04-10,2020-03-19,7
2020-04-10,2020-03-20,10
2020-04-10,2020-03-21,7
2020-04-10,2020-03-22,12
2020-04-10,2020-03-23,11
2020-04-10,2020-03-24,20
2020-04-10,2020-03-25,25
2020-04-10,2020-03-26,30
2020-04-10,2020-03-27,32
2020-04-10,2020-03-28,34
2020-04-10,2020-03-29,37
2020-04-10,2020-03-30,41
2020-04-10,2020-03-31,42
2020-04-10,2020-04-01,47
2020-04-10,2020-04-02,67
2020-04-10,2020-04-03,64
2020-04-10,2020-04-04,57
2020-04-10,2020-04-05,75
2020-04-10,2020-04-06,74
2020-04-10,2020-04-07,60
2020-04-10,2020-04-08,67
2020-04-10,2020-04-09,20
2020-04-10,2020-04-10,3
2020-04-11,,13
2020-04-11,2020-03-01,0
2020-04-11,2020-03-02,0
2020-04-11,2020-03-03,0
2020-04-11,2020-03-04,0
2020-04-11,2020-03-05,0
2020-04-11,2020-03-06,0
2020-04-11,2020-03-07,0
2020-04-11,2020-03-08,0
2020-04-11,2020-03-09,0
2020-04-11,2020-03-10,0
2020-04-11,2020-03-11,1
2020-04-11,2020-03-12,0
2020-04-11,2020-03-13,1
2020-04-11,2020-03-14,1
2020-04-11,2020-03-15,2
2020-04-11,2020-03-16,2
2020-04-11,2020-03-17,2
2020-04-11,2020-03-18,6
2020-04-11,2020-03-19,7
2020-04-11,2020-03-20,10
2020-04-11,2020-03-21,7
2020-04-11,2020-03-22,12
2020-04-11,2020-03-23,11
2020-04-11,2020-03-24,20
2020-04-11,2020-03-25,25
2020-04-11,2020-03-26,30
2020-04-11,2020-03-27,32
2020-04-11,2020-03-28,34
2020-04-11,2020-03-29,37
2020-04-11,2020-03-30,41
2020-04-11,2020-03-31,42
2020-04-11,2020-04-01,47
2020-04-11,2020-04-02,67
2020-04-11,2020-04-03,65
2020-04-11,2020-04-04,57
2020-04-11,2020-04-05,75
2020-04-11,2020-04-06,74
2020-04-11,2020-04-07,60
2020-04-11,2020-04-08,70
2020-04-11,2020-04-09,23
2020-04-11,2020-04-10,13
2020-04-11,2020-04-11,0
2020-04-12,,13
2020-04-12,2020-03-01,0
2020-04-12,2020-03-02,0
2020-04-12,2020-03-03,0
2020-04-12,2020-03-04,0
2020-04-12,2020-03-05,0
2020-04-12,2020-03-06,0
2020-04-12,2020-03-07,0
2020-04-12,2020-03-08,0
2020-04-12,2020-03-09,0
2020-04-12,2020-03-10,0
2020-04-12,2020-03-11,1
2020-04-12,2020-03-12,0
2020-04-12,2020-03-13,1
2020-04-12,2020-03-14,1
2020-04-12,2020-03-15,2
2020-04-12,2020-03-16,2
2020-04-12,2020-03-17,2
2020-04-12,2020-03-18,6
2020-04-12,2020-03-19,7
2020-04-12,2020-03-20,10
2020-04-12,2020-03-21,7
2020-04-12,2020-03-22,12
2020-04-12,2020-03-23,11
2020-04-12,2020-03-24,20
2020-04-12,2020-03-25,25
2020-04-12,2020-03-26,30
2020-04-12,2020-03-27,32
2020-04-12,2020-03-28,34
2020-04-12,2020-03-29,37
2020-04-12,2020-03-30,41
2020-04-12,2020-03-31,42
2020-04-12,2020-04-01,47
2020-04-12,2020-04-02,67
2020-04-12,2020-04-03,65
2020-04-12,2020-04-04,57
2020-04-12,2020-04-05,75
2020-04-12,2020-04-06,74
2020-04-12,2020-04-07,60
2020-04-12,2020-04-08,70
2020-04-12,2020-04-09,24
2020-04-12,2020-04-10,14
2020-04-12,2020-04-11,8
2020-04-12,2020-04-12,2
2020-04-13,,13
2020-04-13,2020-03-01,0
2020-04-13,2020-03-02,0
2020-04-13,2020-03-03,0
2020-04-13,2020-03-04,0
2020-04-13,2020-03-05,0
2020-04-13,2020-03-06,0
2020-04-13,2020-03-07,0
2020-04-13,2020-03-08,0
2020-04-13,2020-03-09,0
2020-04-13,2020-03-10,0
2020-04-13,2020-03-11,1
2020-04-13,2020-03-12,0
2020-04-13,2020-03-13,1
2020-04-13,2020-03-14,1
2020-04-13,2020-03-15,2
2020-04-13,2020-03-16,2
2020-04-13,2020-03-17,2
2020-04-13,2020-03-18,6
2020-04-13,2020-03-19,7
2020-04-13,2020-03-20,10
2020-04-13,2020-03-21,7
2020-04-13,2020-03-22,12
2020-04-13,2020-03-23,11
2020-04-13,2020-03-24,20
2020-04-13,2020-03-25,25
2020-04-13,2020-03-26,30
2020-04-13,2020-03-27,32
2020-04-13,2020-03-28,34
2020-04-13,2020-03-29,37
2020-04-13,2020-03-30,41
2020-04-13,2020-03-31,42
2020-04-13,2020-04-01,47
2020-04-13,2020-04-02,67
2020-04-13,2020-04-03,65
2020-04-13,2020-04-04,57
2020-04-13,2020-04-05,75
2020-04-13,2020-04-06,74
2020-04-13,2020-04-07,60
2020-04-13,2020-04-08,70
2020-04-13,2020-04-09,26
2020-04-13,2020-04-10,17
2020-04-13,2020-04-11,14
2020-04-13,2020-04-12,9
2020-04-13,2020-04-13,2
2020-04-14,,15
2020-04-14,2020-03-01,0
2020-04-14,2020-03-02,0
2020-04-14,2020-03-03,0
2020-04-14,2020-03-04,0
2020-04-14,2020-03-05,0
2020-04-14,2020-03-06,0
2020-04-14,2020-03-07,0
2020-04-14,2020-03-08,0
2020-04-14,2020-03-09,0
2020-04-14,2020-03-10,0
2020-04-14,2020-03-11,1
2020-04-14,2020-03-12,0
2020-04-14,2020-03-13,1
2020-04-14,2020-03-14,1
2020-04-14,2020-03-15,2
2020-04-14,2020-03-16,2
2020-04-14,2020-03-17,1
2020-04-14,2020-03-18,6
2020-04-14,2020-03-19,7
2020-04-14,2020-03-20,10
2020-04-14,2020-03-21,7
2020-04-14,2020-03-22,12
2020-04-14,2020-03-23,11
2020-04-14,2020-03-24,20
2020-04-14,2020-03-25,25
2020-04-14,2020-03-26,30
2020-04-14,2020-03-27,32
2020-04-14,2020-03-28,35
2020-04-14,2020-03-29,38
2020-04-14,2020-03-30,42
2020-04-14,2020-03-31,43
2020-04-14,2020-04-01,48
2020-04-14,2020-04-02,69
2020-04-14,2020-04-03,68
2020-04-14,2020-04-04,59
2020-04-14,2020-04-05,76
2020-04-14,2020-04-06,71
2020-04-14,2020-04-07,65
2020-04-14,2020-04-08,77
2020-04-14,2020-04-09,43
2020-04-14,2020-04-10,31
2020-04-14,2020-04-11,26
2020-04-14,2020-04-12,33
2020-04-14,2020-04-13,21
2020-04-14,2020-04-14,5
2020-04-15,,18
2020-04-15,2020-03-01,0
2020-04-15,2020-03-02,0
2020-04-15,2020-03-03,0
2020-04-15,2020-03-04,0
2020-04-15,2020-03-05,0
2020-04-15,2020-03-06,0
2020-04-15,2020-03-07,0
2020-04-15,2020-03-08,0
2020-04-15,2020-03-09,0
2020-04-15,2020-03-10,0
2020-04-15,2020-03-11,1
2020-04-15,2020-03-12,0
2020-04-15,2020-03-13,1
2020-04-15,2020-03-14,1
2020-04-15,2020-03-15,2
2020-04-15,2020-03-16,2
2020-04-15,2020-03-17,1
2020-04-15,2020-03-18,6
2020-04-15,2020-03-19,7
2020-04-15,2020-03-20,10
2020-04-15,2020-03-21,7
2020-04-15,2020-03-22,12
2020-04-15,2020-03-23,11
2020-04-15,2020-03-24,20
2020-04-15,2020-03-25,25
2020-04-15,2020-03-26,30
2020-04-15,2020-03-27,32
2020-04-15,2020-03-28,35
2020-04-15,2020-03-29,38
2020-04-15,2020-03-30,42
2020-04-15,2020-03-31,43
2020-04-15,2020-04-01,49
2020-04-15,2020-04-02,68
2020-04-15,2020-04-03,69
2020-04-15,2020-04-04,60
2020-04-15,2020-04-05,78
2020-04-15,2020-04-06,82
2020-04-15,2020-04-07,70
2020-04-15,2020-04-08,90
2020-04-15,2020-04-09,55
2020-04-15,2020-04-10,52
2020-04-15,2020-04-11,50
2020-04-15,2020-04-12,54
2020-04-15,2020-04-13,45
2020-04-15,2020-04-14,31
2020-04-15,2020-04-15,6
2020-04-16,,18
