"breed","date","shelter_name","price_usd"
"Poodle (Standard)","2024-05-24","Happy Paws Shelter",665
"Labrador Retriever","2024-02-03","Willow Creek Adoptions",636
"Pug","2023-12-07","City Animal Care",673
"German Shepherd","2022-05-05","City Animal Care",530
"Poodle (Standard)","2022-11-16","Willow Creek Adoptions",757
"Border Collie","2022-06-02","Pawsitive Rescue",247
"French Bulldog","2022-09-29","Happy Paws Shelter",1285
"Chihuahua","2023-03-22","Willow Creek Adoptions",402
"Labrador Retriever","2022-08-01","Happy Paws Shelter",578
"Poodle (Standard)","2023-08-25","City Animal Care",689
"French Bulldog","2022-10-23","Happy Paws Shelter",1350
"Dachshund","2023-03-22","Pawsitive Rescue",225
"Beagle","2023-05-06","Willow Creek Adoptions",390
"Beagle","2023-06-27","Pawsitive Rescue",213
"Pug","2022-04-09","Happy Paws Shelter",779
"Golden Retriever","2023-07-26","Happy Paws Shelter",577
"Labrador Retriever","2023-03-24","City Animal Care",533
"Border Collie","2024-11-06","City Animal Care",522
"Chihuahua","2023-10-27","Pawsitive Rescue",169
"French Bulldog","2023-04-16","Willow Creek Adoptions",1266
"Poodle (Standard)","2022-04-27","Willow Creek Adoptions",724
"Border Collie","2023-09-22","City Animal Care",460
"German Shepherd","2023-01-20","Happy Paws Shelter",584
"Chihuahua","2022-11-04","Willow Creek Adoptions",362
"Golden Retriever","2024-07-02","Pawsitive Rescue",345
"Poodle (Standard)","2024-01-04","Willow Creek Adoptions",655
"German Shepherd","2022-10-03","City Animal Care",573
"Dachshund","2022-09-19","Pawsitive Rescue",199
"Poodle (Standard)","2024-03-14","Happy Paws Shelter",711
"Labrador Retriever","2024-01-19","City Animal Care",586
"German Shepherd","2023-05-01","Willow Creek Adoptions",649
"Pug","2023-07-17","Pawsitive Rescue",415
"Beagle","2024-09-16","Pawsitive Rescue",218
"Labrador Retriever","2024-09-04","Pawsitive Rescue",363
"Beagle","2022-09-01","Pawsitive Rescue",181
"Dachshund","2023-08-27","Happy Paws Shelter",396
"Pug","2022-07-05","Happy Paws Shelter",698
"French Bulldog","2024-07-01","Happy Paws Shelter",1168
"French Bulldog","2024-07-25","Pawsitive Rescue",807
"Chihuahua","2023-11-21","Pawsitive Rescue",197
"Dachshund","2024-09-06","Happy Paws Shelter",416
"Golden Retriever","2022-02-20","City Animal Care",580
"Labrador Retriever","2023-01-07","Pawsitive Rescue",332
"Border Collie","2023-07-08","City Animal Care",449
"Dachshund","2024-10-07","City Animal Care",400
"Golden Retriever","2022-05-25","Happy Paws Shelter",614
"Chihuahua","2023-06-08","Happy Paws Shelter",341
"Beagle","2022-05-26","Pawsitive Rescue",210
"Dachshund","2024-07-08","City Animal Care",407
"Poodle (Standard)","2023-03-19","Willow Creek Adoptions",687
"French Bulldog","2023-06-08","Pawsitive Rescue",867
"German Shepherd","2023-11-13","Pawsitive Rescue",334
"Poodle (Standard)","2024-01-03","Pawsitive Rescue",429
"Poodle (Standard)","2023-04-18","Willow Creek Adoptions",676
"Poodle (Standard)","2024-06-16","Happy Paws Shelter",698
"German Shepherd","2023-09-05","Happy Paws Shelter",631
"Pug","2022-07-18","Happy Paws Shelter",712
"Golden Retriever","2023-05-25","City Animal Care",638
"Labrador Retriever","2024-04-02","City Animal Care",588
"Poodle (Standard)","2023-01-21","Willow Creek Adoptions",729
"French Bulldog","2023-03-29","City Animal Care",1189
"German Shepherd","2022-12-26","Pawsitive Rescue",354
"Beagle","2024-10-26","City Animal Care",379
"French Bulldog","2022-04-20","Pawsitive Rescue",834
"Beagle","2023-01-01","Willow Creek Adoptions",395
"Golden Retriever","2024-09-25","Willow Creek Adoptions",621
"German Shepherd","2022-08-17","Pawsitive Rescue",382
"Dachshund","2022-01-13","Pawsitive Rescue",203
"Border Collie","2022-10-06","Pawsitive Rescue",254
"Chihuahua","2023-06-19","Willow Creek Adoptions",354
"Golden Retriever","2024-11-11","Happy Paws Shelter",608
"German Shepherd","2023-11-25","City Animal Care",556
"Golden Retriever","2023-07-25","Happy Paws Shelter",599
"Border Collie","2022-12-21","City Animal Care",488
"Beagle","2023-09-21","Pawsitive Rescue",194
"French Bulldog","2022-11-27","Willow Creek Adoptions",1205
"Pug","2023-05-21","Pawsitive Rescue",381
"Pug","2023-03-03","Happy Paws Shelter",745
"German Shepherd","2023-10-17","City Animal Care",597
"Labrador Retriever","2023-06-03","Happy Paws Shelter",592
"Border Collie","2024-04-16","Happy Paws Shelter",503
"Chihuahua","2022-05-26","Pawsitive Rescue",197
"Beagle","2024-09-22","Willow Creek Adoptions",378
"French Bulldog","2024-06-28","Willow Creek Adoptions",1225
"Border Collie","2022-08-14","Pawsitive Rescue",269
"German Shepherd","2024-09-10","Pawsitive Rescue",399
"French Bulldog","2024-09-22","Pawsitive Rescue",760
"Poodle (Standard)","2024-07-29","Happy Paws Shelter",713
"Poodle (Standard)","2022-01-03","Pawsitive Rescue",432
"Labrador Retriever","2024-11-14","City Animal Care",561
"Dachshund","2022-03-23","Willow Creek Adoptions",390
"Beagle","2024-09-25","Happy Paws Shelter",392
"Chihuahua","2023-10-06","City Animal Care",325
"Pug","2022-06-29","Pawsitive Rescue",416
"Labrador Retriever","2024-04-28","City Animal Care",541
"Pug","2022-07-07","Willow Creek Adoptions",701
"Poodle (Standard)","2024-07-20","Pawsitive Rescue",403
"German Shepherd","2023-01-20","Willow Creek Adoptions",607
"Poodle (Standard)","2022-06-14","Pawsitive Rescue",441
"Pug","2022-08-09","Happy Paws Shelter",740
"Border Collie","2023-01-06","Willow Creek Adoptions",489
"French Bulldog","2024-08-15","City Animal Care",1154
"Border Collie","2022-09-28","Willow Creek Adoptions",508
"French Bulldog","2023-10-20","Pawsitive Rescue",786
"Pug","2024-02-03","Pawsitive Rescue",429
"Border Collie","2023-10-19","Willow Creek Adoptions",480
"Pug","2022-02-27","Happy Paws Shelter",748
"Poodle (Standard)","2024-10-23","Pawsitive Rescue",435
"Beagle","2022-12-03","Happy Paws Shelter",384
"Golden Retriever","2023-06-09","Pawsitive Rescue",368
"Dachshund","2024-11-14","Pawsitive Rescue",211
"Dachshund","2024-06-06","Willow Creek Adoptions",397
"Pug","2022-06-07","City Animal Care",728
"German Shepherd","2023-12-19","Pawsitive Rescue",391
"Chihuahua","2024-04-03","City Animal Care",354
"Chihuahua","2023-10-25","Pawsitive Rescue",189
"German Shepherd","2022-09-02","Willow Creek Adoptions",608
"Poodle (Standard)","2024-01-07","City Animal Care",686
"Poodle (Standard)","2022-01-28","Happy Paws Shelter",696
"Golden Retriever","2022-09-21","Willow Creek Adoptions",622
"Golden Retriever","2024-12-03","Willow Creek Adoptions",598
"Dachshund","2023-08-27","Pawsitive Rescue",219
"Poodle (Standard)","2022-03-12","Willow Creek Adoptions",711
"Labrador Retriever","2023-10-18","Willow Creek Adoptions",604
"Pug","2023-01-06","City Animal Care",721
"Chihuahua","2024-01-20","Willow Creek Adoptions",371
